B1_ID,B1_Verification,B2_ID,B2_Verification
0,966710486,False,3265484348,False
1,966710486,False,228168148,False
2,966710486,False,241925227,False
3,966710486,False,2683102327,False
0,514799426,False,905423614824067073,False
1,514799426,False,1661469139,False
2,514799426,False,299153711,False
3,514799426,False,1088848820656574464,False
4,514799426,False,142353947,False
0,744012835311730689,False,808652769804636160,False
1,744012835311730689,False,1098225379322540032,False
2,744012835311730689,False,2767552125,False
3,744012835311730689,False,1095704218650988544,False
4,744012835311730689,False,1076703054051926022,False
0,514766972,False,4724593109,False
1,514766972,False,1430916996,False
2,514766972,False,62059341,False
3,514766972,False,924750473080516609,False
0,22665887,False,34475936,False
1,22665887,False,739013040,False
2,22665887,False,294192447,False
3,22665887,False,1020416739883003906,False
4,22665887,False,138584469,False
0,2928754463,False,404130485,False
1,2928754463,False,2414795454,False
2,2928754463,False,943525394002558977,False
3,2928754463,False,847595539856338945,False
4,2928754463,False,226721942,False
0,1098572084358328322,False,1902518670,False
1,1098572084358328322,False,39239593,False
2,1098572084358328322,False,1512234564,False
3,1098572084358328322,False,142348565,False
4,1098572084358328322,False,3654911176,False
0,4058142620,False,1098543396958785536,False
1,4058142620,False,731239962,False
2,4058142620,False,799196227673948160,False
3,4058142620,False,1097209326035456000,False
4,4058142620,False,1090499300390522880,False
0,135189186,False,1090866765754593280,False
1,135189186,False,81651091,False
2,135189186,False,1099396649405706241,False
3,135189186,False,953754059026046976,False
0,541172527,False,100818788,False
0,1058946200508846080,False,1021466531341856768,False
1,1058946200508846080,False,1099456112749797376,False
2,1058946200508846080,False,758137701497393152,False
3,1058946200508846080,False,95148118,False
4,1058946200508846080,False,2777799739,False
0,358355398,False,834942391127703552,False
1,358355398,False,3900974777,False
2,358355398,False,100818788,False
3,358355398,False,1090035062517698566,False
4,358355398,False,169765998,False
0,926295404211326976,False,1008702326792744960,False
1,926295404211326976,False,1038159412794458112,False
2,926295404211326976,False,1043683470533386240,False
3,926295404211326976,False,2988148206,False
